ARTICLE_NO,PRICE,SPECIAL_PRICE,UI_Price,UI_Special_Price,ADD_TO_BAG,STATUS,RELEASE_DATE,URL
AP8544,540,,540.00,,Yes,Success,2016-15-02 00:00:00,http://adidasmystg.specom.io/studio-bag-bfv70.html?a=214_56587
AP9775,300,,300.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/stretch-jacket-bbl71.html?a=214_56909
AQ1331,180,,180.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/cloudfoam-ilation-mid-shoes-btk95.html?a=214_56119
AQ1332,180,,180.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/cloudfoam-ilation-mid-shoes-btj83.html?a=214_48417
AQ1362,210,,210.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/cloudfoam-ilation-mid-shoes-btj90.html?a=214_48478
AQ1430,230,,230.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/cloudfoam-speed-shoes-btk16.html?a=214_48387
AQ1442,140,,140.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/cloudfoam-speed-shoes-btk21.html?a=214_48425
AQ1485,190,,190.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/vs-skate-shoes-btk40.html?a=214_48376
AQ1489,250,,250.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/cloudfoam-sprint-shoes-btk41.html?a=214_56159
AQ1490,250,,250.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/cloudfoam-sprint-shoes-btk41.html?a=214_56163
AQ1491,250,,250.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/cloudfoam-sprint-shoes-btk41.html?a=214_56155
AQ1550,140,,140.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/cloudfoam-speed-shoes-btk74.html?a=214_48399
AQ1557,210,,210.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/cloudfoam-ilation-mid-shoes-btj90.html?a=214_56093
AQ2317,260,,260.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/falcon-elite-3-m-au490.html?a=214_56213
AQ2551,490,,490.00,,Yes,Success,2016-29-01 00:00:00,http://adidasmystg.specom.io/ace-16-2-primemesh-firm-ground-boots-kdw42.html?a=214_56236
