"articlenumber_value","price","special_price","releasedate"
"AI7476","990",,"2016-01-02 00:00:00"
"AI7477","1490",,"2016-01-02 00:00:00"
"AI7478","1990",,"2016-01-02 00:00:00"
"AI7480","1690",,"2016-01-01 00:00:00"
"AI7993","1390",,"2016-01-02 00:00:00"
"AI8035","2990",,"2016-01-02 00:00:00"
"AI8111","790",,"2016-01-02 00:00:00"
"AI8119","990",,"2016-01-02 00:00:00"
"AI8197","790",,"2016-01-01 00:00:00"
"AI8259","1790",,"2016-01-02 00:00:00"
"AI8267","790",,"2016-01-02 00:00:00"
"AI8269","790",,"2016-01-02 00:00:00"
"AI8316","1390",,"2016-15-01 00:00:00"
"AI8336","1290",,"2016-01-02 00:00:00"
"AI8383","2290",,"2016-15-02 00:00:00"
"AI8448","3090",,"2016-15-01 00:00:00"
"AI8451","2890",,"2016-15-02 00:00:00"
"AI8457","4090",,"2016-15-02 00:00:00"
"AI8459","4090",,"2016-15-02 00:00:00"
"AI8464","2890",,"2016-15-02 00:00:00"
"AI8762","4090",,"2016-15-02 00:00:00"
"AI8771","2590",,"2016-15-02 00:00:00"
"AI8874","3090",,"2016-15-02 00:00:00"
"AI8911","2090",,"2016-15-02 00:00:00"
"AI9174","3390",,"2016-01-01 00:00:00"
"AI9255","1090",,"2016-01-01 00:00:00"
"AJ0022","890",,"2016-01-01 00:00:00"
"AJ0023","1690",,"2016-01-01 00:00:00"
"AJ0025","2290",,"2016-01-01 00:00:00"
"AJ0071","1290",,"2016-01-01 00:00:00"
"AJ0221","890",,"2016-01-01 00:00:00"
"AJ0223","2290",,"2016-01-01 00:00:00"
"AJ0266","990",,"2016-01-01 00:00:00"
"AJ0267","1090",,"2016-01-01 00:00:00"
"AJ0275","1590",,"2016-01-01 00:00:00"
"AJ0276","2290",,"2016-01-01 00:00:00"
"AJ0535","1990",,"2016-01-02 00:00:00"
"AJ0536","1990",,"2016-01-02 00:00:00"
"AJ0538","1390",,"2016-01-02 00:00:00"
"AJ0539","1390",,"2016-01-02 00:00:00"
"AJ0963","1390",,"2016-15-01 00:00:00"
"AJ1246","2590",,"2016-01-02 00:00:00"
"AJ1247","2390",,"2016-01-02 00:00:00"
"AJ1278","990",,"2016-01-01 00:00:00"
"AJ1363","590",,"2016-01-01 00:00:00"
"AJ1364","590",,"2016-01-01 00:00:00"
"AJ1366","590",,"2016-01-01 00:00:00"
"AJ1369","590",,"2016-01-01 00:00:00"
"AJ1389","520",,"2016-01-01 00:00:00"
"AJ1390","520",,"2016-01-01 00:00:00"
"AJ1391","520",,"2016-01-01 00:00:00"
"AJ1392","520",,"2016-01-01 00:00:00"
"AJ1393","520",,"2016-01-01 00:00:00"
"AJ1524","2390",,"2016-01-01 00:00:00"
"AJ1544","1190",,"2016-01-02 00:00:00"
"AJ1547","1090",,"2016-01-02 00:00:00"
"AJ1551","1090",,"2016-01-02 00:00:00"
"AJ1764","1290",,"2016-01-02 00:00:00"
"AJ2265","1490",,"2016-01-02 00:00:00"
"AJ3208","1690",,"2016-01-01 00:00:00"
"AJ3215","1090",,"2016-01-02 00:00:00"
"AJ3219","1090",,"2016-01-01 00:00:00"
"AJ3222","1090",,"2016-01-02 00:00:00"
"AJ3248","990",,"2016-01-01 00:00:00"
"AJ3249","990",,"2016-01-01 00:00:00"
"AJ3251","990",,"2016-01-01 00:00:00"
"AJ3255","890",,"2016-01-01 00:00:00"
"AJ3274","990",,"2016-01-01 00:00:00"
"AJ3277","990",,"2016-01-01 00:00:00"
"AJ3282","890",,"2016-01-01 00:00:00"
"AJ3790","2490",,"2016-01-01 00:00:00"
"AJ4065","1790",,"2016-01-01 00:00:00"
"AJ4696","1690",,"2016-01-07 00:00:00"
"AJ4704","1690",,"2016-01-07 00:00:00"
"AJ4775","990",,"2016-01-02 00:00:00"
"AJ4785","990",,"2016-01-02 00:00:00"
"AJ4786","2590",,"2016-01-02 00:00:00"
"AJ4791","2590",,"2016-01-02 00:00:00"
"AJ4799","1090",,"2016-01-01 00:00:00"
"AJ4811","3090",,"2016-15-04 00:00:00"
"AJ4813","3090",,"2016-01-02 00:00:00"
"AJ4821","2490",,"2016-01-07 00:00:00"
"AJ4850","1390",,"2016-01-01 00:00:00"
"AJ4862","2790",,"2016-01-02 00:00:00"
"AJ4876","1190",,"2016-01-02 00:00:00"
"AJ4878","1190",,"2016-01-02 00:00:00"
"AJ4932","1390",,"2016-01-02 00:00:00"
"AJ4933","1390",,"2016-01-02 00:00:00"
"AJ4958","790",,"2016-01-01 00:00:00"
"AJ5018","990",,"2016-01-01 00:00:00"
"AJ5026","1690",,"2016-01-02 00:00:00"
"AJ5029","1690",,"2016-01-01 00:00:00"
"AJ5058","1390",,"2016-01-02 00:00:00"
"AJ5059","1390",,"2016-01-02 00:00:00"
"AJ5069","1290",,"2016-01-02 00:00:00"
"AJ5179","2590",,"2016-01-01 00:00:00"
"AJ5337","890",,"2016-01-02 00:00:00"
"AJ5351","790",,"2016-01-07 00:00:00"
"AJ5499","1290",,"2016-01-01 00:00:00"
"AJ5500","1290",,"2016-01-02 00:00:00"
"AJ5503","1090",,"2016-01-02 00:00:00"
"AJ5507","1090",,"2016-01-02 00:00:00"
"AJ5515","1390",,"2016-01-02 00:00:00"
"AJ5519","1390",,"2016-01-02 00:00:00"
"AJ5521","1590",,"2016-01-02 00:00:00"
"AJ5522","1590",,"2016-01-02 00:00:00"
"AJ5523","1490",,"2016-01-02 00:00:00"
"AJ5524","1490",,"2016-01-02 00:00:00"
"AJ5552","2990",,"2016-01-02 00:00:00"
"AJ5553","2990",,"2016-01-02 00:00:00"
"AJ5563","1990",,"2016-01-02 00:00:00"
"AJ5577","1990",,"2016-01-02 00:00:00"
"AJ5590","790",,"2016-01-02 00:00:00"
"AJ5591","790",,"2016-01-02 00:00:00"
"AJ5597","1990",,"2016-01-02 00:00:00"
"AJ5712","2290",,"2016-01-01 00:00:00"
"AJ5739","790",,"2016-01-07 00:00:00"
"AJ5743","890",,"2016-01-02 00:00:00"
"AJ5750","1190",,"2016-01-02 00:00:00"
"AJ5751","1190",,"2016-01-01 00:00:00"
"AJ5757","890",,"2016-01-02 00:00:00"
"AJ5758","890",,"2016-01-01 00:00:00"
"AJ5762","790",,"2016-01-02 00:00:00"
