ARTICLE_NO,PRICE,SPECIAL_PRICE,UI_Price,UI_Special_Price,ADD_TO_BAG,STATUS,RELEASE_DATE,URL
AF6665,230,,230.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/duramo-7-shoes-ikz76.html?a=214_55765
AF6676,230,,,,,Article Error,2016-01-01 00:00:00,Product NOT Available: http://adidasmystg.specom.io/duramo-7-shoes-ikz77.html?a=214_47929
AF6783,230,,230.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/barricade-court-2-0-shoes-iut36.html?a=214_47677
AF6784,250,,250.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/barricade-court-2-0-shoes-kdi01.html?a=214_55708
AF6796,520,,520.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/barricade-2016-shoes-iut43.html?a=214_48014
AH4136,110,,110.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/dame-fly-tee-bby01.html?a=214_56913
AH4137,110,,110.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/dame-fly-tee-bby01.html?a=214_57047
AH5049,99,,99.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/lakers-summer-run-shooter-tee-bcd94.html?a=214_49462
AH5108,270,,270.00,,Yes,Success,2015-22-07 00:00:00,http://adidasmystg.specom.io/chelsea-fc-away-replica-player-jersey-bce45.html?a=214_36156
AH5745,250,,250.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/germany-backpack-plus-bcg34.html?a=214_48569
AH5747,25,,25.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/germany-bottle-bcg36.html?a=214_49106
AH6762,50,,50.00,,Yes,Success,2015-01-06 00:00:00,http://adidasmystg.specom.io/real-madrid-home-socks-1-pair-bcl08.html?a=214_47303
AH7803,350,,350.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/ace-zones-pro-goalkeeper-gloves-kao90.html?a=214_56335
AH7813,65,,65.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/ace-goalkeeper-gloves-kar01.html?a=214_56570
AH7815,199,,,,,Article Error,2016-01-02 00:00:00,Product NOT Available: http://adidasmystg.specom.io/ace-fingersave-replique-goalkeeper-gloves-kaq99.html?a=214_56581
AH8855,170,,170.00,,Yes,Success,2016-21-01 00:00:00,http://adidasmystg.specom.io/adidas-stellasport-sport-image-tank-top-kfx13.html?a=214_49593
AH8892,330,,330.00,,Yes,Success,2016-21-01 00:00:00,http://adidasmystg.specom.io/adidas-stellasport-allover-print-jacket-kfx21.html?a=214_49328
AH8895,150,,150.00,,Yes,Success,2016-21-01 00:00:00,http://adidasmystg.specom.io/adidas-stellasport-cropped-tank-top-kfx22.html?a=214_49543
AH9165,85,,85.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/response-tee-kav90.html?a=214_55347
AH9675,210,,210.00,,Yes,Success,2016-15-01 00:00:00,http://adidasmystg.specom.io/low-waste-shorts-bdi05.html?a=214_48629
AH9964,140,,140.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/run-layer-tee-bcl90.html?a=214_56707
AI0322,145,,145.00,,Yes,Success,2016-01-02 00:00:00,http://adidasmystg.specom.io/cool-365-shorts-bdl11.html?a=214_57001
AI0703,330,,330.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/barricade-dress-bbj90.html?a=214_48603
AI0723,210,,210.00,,Yes,Success,2016-01-01 00:00:00,http://adidasmystg.specom.io/barricade-tee-bbk11.html?a=214_48269
