"articlenumber_value","price","special_price","releasedate"
"AJ1547","349000",,"2016-01-02 00:00:00"
"AJ1551","399000",,"2016-01-02 00:00:00"
"AJ1764","399000",,"2016-01-02 00:00:00"
"AJ2265","599000",,"2016-01-02 00:00:00"
"AJ3219","349000",,"2016-01-01 00:00:00"
"AJ3222","399000",,"2016-01-02 00:00:00"
"AJ4208","399000",,"2016-01-02 00:00:00"
"AJ4704","649000",,"2016-01-07 00:00:00"
"AJ4775","429000",,"2016-01-02 00:00:00"
"AJ4785","429000",,"2016-01-02 00:00:00"
"AJ4791","899000",,"2016-01-02 00:00:00"
"AJ4799","359000",,"2016-01-01 00:00:00"
"AJ4862","1029000",,"2016-01-02 00:00:00"
"AJ4958","299000",,"2016-01-01 00:00:00"
"AJ5018","399000",,"2016-01-01 00:00:00"
"AJ5026","649000",,"2016-01-02 00:00:00"
"AJ5029","649000",,"2016-01-01 00:00:00"
"AJ5058","499000",,"2016-01-02 00:00:00"
"AJ5059","499000",,"2016-01-02 00:00:00"
"AJ5069","499000",,"2016-01-02 00:00:00"
"AJ5179","849000",,"2016-01-01 00:00:00"
"AJ5337","349000",,"2016-01-02 00:00:00"
"AJ5503","379000",,"2016-01-02 00:00:00"
"AJ5515","449000",,"2016-01-02 00:00:00"
"AJ5519","449000",,"2016-01-02 00:00:00"
"AJ5521","699000",,"2016-01-02 00:00:00"
"AJ5523","459000",,"2016-01-02 00:00:00"
"AJ5524","459000",,"2016-01-02 00:00:00"
"AJ5577","599000",,"2016-01-02 00:00:00"
"AJ5597","729000",,"2016-01-02 00:00:00"
"AJ5712","599000",,"2016-01-01 00:00:00"
"AJ5743","349000",,"2016-01-07 00:00:00"
"AJ5750","399000",,"2016-01-02 00:00:00"
"AJ5751","399000",,"2016-01-01 00:00:00"
"AJ6044","359000",,"2016-01-02 00:00:00"
"AJ6053","899000",,"2016-01-02 00:00:00"
"AJ6131","349000",,"2016-01-01 00:00:00"
"AJ6270","229000",,"2016-01-02 00:00:00"
"AJ6278","529000",,"2016-01-02 00:00:00"
"AJ6279","529000",,"2016-01-02 00:00:00"
"AJ6393","499000",,"2016-01-01 00:00:00"
"AJ6557","329000",,"2016-01-02 00:00:00"
"AJ6588","549000",,"2016-01-02 00:00:00"
"AJ7012","329000",,"2016-01-01 00:00:00"
"AJ7018","329000",,"2016-01-01 00:00:00"
"AJ7140","389000",,"2016-01-02 00:00:00"
"AJ7142","389000",,"2016-01-02 00:00:00"
"AJ7343","1899000",,"2016-30-01 00:00:00"
"AJ7379","349000",,"2016-01-01 00:00:00"
"AJ7387","449000",,"2016-01-02 00:00:00"
"AJ7830","449000",,"2016-01-02 00:00:00"
"AJ7974","1099000",,"2016-01-02 00:00:00"
"AJ7975","999000",,"2016-01-02 00:00:00"
"AJ7983","549000",,"2016-01-02 00:00:00"
"AJ7984","999000",,"2016-01-02 00:00:00"
"AJ8153","349000",,"2016-01-01 00:00:00"
"AJ8225","999000",,"2016-01-02 00:00:00"
"AJ8867","999000",,"2016-01-02 00:00:00"
"AJ8870","599000",,"2016-01-02 00:00:00"
"AJ8921","199000",,"2016-01-01 00:00:00"
"AJ9333","399000",,"2016-01-02 00:00:00"
"AJ9442","499000",,"2016-01-02 00:00:00"
"AJ9463","79000",,"2016-01-02 00:00:00"
"AJ9464","79000",,"2016-01-02 00:00:00"
"AJ9465","79000",,"2016-01-02 00:00:00"
"AJ9466","79000",,"2016-01-02 00:00:00"
"AJ9699","499000",,"2016-01-02 00:00:00"
"AJ9700","499000",,"2016-01-02 00:00:00"
"AJ9713","249000",,"2016-01-01 00:00:00"
"AJ9908","249000",,"2016-01-01 00:00:00"
"AJ9982","499000",,"2016-01-02 00:00:00"
"AJ9983","499000",,"2016-01-02 00:00:00"
"AJ9984","499000",,"2016-01-02 00:00:00"
"AJ9988","229000",,"2016-01-02 00:00:00"
"AJ9989","229000",,"2016-01-02 00:00:00"
"AJ9991","599000",,"2016-01-02 00:00:00"
"AJ9992","599000",,"2016-01-02 00:00:00"
"AJ9993","549000",,"2016-01-02 00:00:00"
"AJ9994","549000",,"2016-01-02 00:00:00"
"AJ9997","499000",,"2016-01-02 00:00:00"
"AJ9998","499000",,"2016-01-02 00:00:00"
"AK0071","499000",,"2016-01-02 00:00:00"
"AK0072","499000",,"2016-01-02 00:00:00"
"AK0078","499000",,"2016-01-02 00:00:00"
"AK0083","499000",,"2016-01-01 00:00:00"
"AK0088","499000",,"2016-01-01 00:00:00"
"AK0238","499000",,"2016-01-02 00:00:00"
"AK0674","359000",,"2016-01-02 00:00:00"
"AK0706","799000",,"2016-01-01 00:00:00"
