"articlenumber_value","price","special_price","releasedate"
"AI8316","1895",,"2016-15-01 00:00:00"
"AI8336","1495",,"2016-01-02 00:00:00"
"AI8383","2995",,"2016-15-02 00:00:00"
"AI8448","3895",,"2016-15-01 00:00:00"
"AI8451","3595",,"2016-15-02 00:00:00"
"AI8457","5295",,"2016-15-02 00:00:00"
"AI8459","5295",,"2016-15-02 00:00:00"
"AI8464","3595",,"2016-15-02 00:00:00"
"AI8762","5295",,"2016-15-02 00:00:00"
"AI8771","3395",,"2016-15-02 00:00:00"
"AI8874","3895",,"2016-15-02 00:00:00"
"AI8911","2795",,"2016-15-02 00:00:00"
"AJ0221","995",,"2016-01-01 00:00:00"
"AJ0223","2695",,"2016-01-01 00:00:00"
"AJ0266","1595",,"2016-01-01 00:00:00"
"AJ0267","1595",,"2016-01-01 00:00:00"
"AJ0275","1895",,"2016-01-01 00:00:00"
"AJ0276","2695",,"2016-01-01 00:00:00"
"AJ0535","2595",,"2016-01-02 00:00:00"
"AJ0536","2595",,"2016-01-02 00:00:00"
"AJ0539","1795",,"2016-01-02 00:00:00"
"AJ0963","1795",,"2016-15-01 00:00:00"
"AJ1364","995",,"2016-01-01 00:00:00"
"AJ1524","2995",,"2016-01-01 00:00:00"
"AJ1544","1895",,"2016-01-02 00:00:00"
"AJ1547","1695",,"2016-01-02 00:00:00"
"AJ1551","1695",,"2016-01-02 00:00:00"
"AJ1715","1195",,"2016-01-01 00:00:00"
"AJ1764","1495",,"2016-01-02 00:00:00"
"AJ1891","1295",,"2016-01-01 00:00:00"
"AJ1949","1495",,"2016-01-01 00:00:00"
"AJ2004","995",,"2016-01-01 00:00:00"
"AJ2005","995",,"2016-01-01 00:00:00"
"AJ2265","2095",,"2016-01-02 00:00:00"
"AJ3215","1695",,"2016-01-02 00:00:00"
"AJ3219","1695",,"2016-01-01 00:00:00"
"AJ3222","1895",,"2016-01-02 00:00:00"
"AJ3790","3295",,"2016-01-01 00:00:00"
"AJ4065","2495",,"2016-01-01 00:00:00"
"AJ4208","1495",,"2016-01-02 00:00:00"
"AJ4696","2195",,"2016-01-07 00:00:00"
"AJ4704","2195",,"2016-01-07 00:00:00"
"AJ4775","1495",,"2016-01-02 00:00:00"
"AJ4785","1495",,"2016-01-02 00:00:00"
"AJ4799","1295",,"2016-01-01 00:00:00"
"AJ4811","4395",,"2016-01-02 00:00:00"
"AJ4813","4395",,"2016-01-02 00:00:00"
"AJ4821","3295",,"2016-01-07 00:00:00"
"AJ4850","1895",,"2016-01-01 00:00:00"
"AJ4862","3695",,"2016-01-02 00:00:00"
"AJ4878","1495",,"2016-01-02 00:00:00"
"AJ4932","1895",,"2016-01-02 00:00:00"
"AJ4933","1895",,"2016-01-02 00:00:00"
"AJ4958","1195",,"2016-01-01 00:00:00"
"AJ5018","1495",,"2016-01-01 00:00:00"
"AJ5026","2295",,"2016-01-02 00:00:00"
"AJ5029","2295",,"2016-01-01 00:00:00"
"AJ5058","1895",,"2016-01-02 00:00:00"
"AJ5059","1895",,"2016-01-02 00:00:00"
"AJ5069","1795",,"2016-01-02 00:00:00"
"AJ5179","2995",,"2016-01-01 00:00:00"
"AJ5337","1195",,"2016-01-02 00:00:00"
"AJ5499","1395",,"2016-01-01 00:00:00"
"AJ5500","1395",,"2016-01-02 00:00:00"
"AJ5503","1395",,"2016-01-02 00:00:00"
"AJ5507","1395",,"2016-01-02 00:00:00"
"AJ5515","1695",,"2016-01-02 00:00:00"
"AJ5519","1695",,"2016-01-02 00:00:00"
"AJ5521","2295",,"2016-01-02 00:00:00"
