"articlenumber_value","price","special_price","releasedate","Name","Images","Sizes","Status"
"078260",49.0000,,"2009-08-01 00:00:00","Adissage Slide","078260_f_1.jpg|078260_f_2.jpg|078260_f_3.jpg|078260_f_4.jpg|078260_f_5.jpg|078260_f_6.jpg|078260_f_7.jpg|078260_f_8.jpg","6|7|8|9|10|11|12","Enabled"
"E19300",10.0000,,"2010-07-01 00:00:00"," Milano  Socks ","e19300_21_model_f.jpg|e19300_f.jpg|e19300_23_model_f.jpg|e19300_22_model_f.jpg","3739|4042|4345|2730|3133|3436","Enabled"
